0,0,FL,4
0,1,TLP,3
0,2,TLP,3
0,3,TLP,3
0,4,TLP,3
0,5,TLP,3
0,6,TLP,3
0,7,TLP,3
0,8,TLP,3
0,9,TLP,3
0,10,TLP,3
0,11,TLP,3
0,12,TLP,3
0,13,TLP,3
0,14,TLP,3
0,15,TLP,3
0,16,TLP,3
0,17,TLP,3
0,18,TLP,3
0,19,TLP,3
0,20,TLP,3
0,21,TLP,3
0,22,TLP,3
0,23,TLP,3
0,24,TLP,3
0,25,TLP,3
0,26,TLP,3
0,27,TLP,3
0,28,TLP,3
0,29,TLP,3
0,30,TLP,3
0,31,TLP,3
0,32,TLP,3
0,33,TLP,3
0,34,TLP,3
0,35,TLP,3
0,36,TLP,3
0,37,TLP,3
0,38,TLP,3
0,39,TLP,3
0,40,TLP,3
0,41,TLP,3
0,42,TLP,3
0,43,TLP,3
0,44,TLP,3
1,0,AC,10
1,1,UINT8,1
1,2,UINT8,1
1,3,BIN,1
1,4,BIN,1
1,5,UINT32,4
1,6,UINT32,4
1,7,UINT32,4
1,8,INT16,2
1,9,INT16,2
1,10,UINT16,2
1,11,AC,10
1,12,UINT16,2
1,13,FL,4
1,14,FL,4
1,15,FL,4
1,16,FL,4
1,17,FL,4
1,18,FL,4
1,19,FL,4
1,20,FL,4
1,21,FL,4
1,22,UINT16,2
2,0,AC,10
2,1,UINT16,2
2,2,UINT8,1
2,3,UINT8,1
2,4,BIN,1
2,5,BIN,1
2,6,UINT32,4
2,7,AC,10
2,8,UINT16,2
2,9,INT16,2
2,10,INT16,2
2,11,FL,4
2,12,FL,4
2,13,FL,4
3,0,AC,10
3,1,AC,10
3,2,UINT16,2
3,3,UINT16,2
3,4,INT16,2
3,5,INT16,2
3,6,FL,4
3,7,FL,4
3,8,FL,4
3,9,FL,4
3,10,FL,4
3,11,FL,4
3,12,FL,4
3,13,FL,4
3,14,FL,4
3,15,BIN,1
3,16,BIN,1
3,17,INT16,2
3,18,UINT16,2
4,0,AC,10
4,1,AC,10
4,2,INT16,2
4,3,INT16,2
4,4,FL,4
4,5,FL,4
4,6,FL,4
4,7,BIN,1
4,8,BIN,1
4,9,INT16,2
5,0,AC,10
5,1,AC,10
5,2,UINT8,1
5,3,UINT8,1
5,4,UINT8,1
5,5,UINT16,2
5,6,FL,4
5,7,FL,4
5,8,FL,4
5,9,FL,4
5,10,FL,4
5,11,FL,4
5,12,FL,4
5,13,FL,4
5,14,BIN,1
5,15,BIN,1
5,16,UINT32,4
5,17,FL,4
5,18,FL,4
5,19,FL,4
5,19,UINT32,4
5,20,UINT32,4
6,0,AC,10
6,1,BIN,1
6,2,UINT8,1
6,3,UINT16,2
6,4,TLP,3
6,5,TLP,3
6,6,FL,4
6,6,FL,4
6,7,TLP,3
6,7,TLP,3
6,8,AC,1
6,8,AC,1
6,9,TLP,3
6,10,TLP,3
6,11,FL,4
6,11,FL,4
6,12,TLP,3
6,12,TLP,3
6,13,AC,1
6,13,AC,1
6,14,FL,4
6,15,FL,4
6,16,UINT16,2
6,16,UINT16,2
6,17,FL,4
6,18,FL,4
6,19,FL,4
6,20,FL,4
6,21,FL,4
6,22,FL,4
6,23,FL,4
6,24,FL,4
6,24,FL,4
6,25,UINT16,2
6,25,UINT16,2
6,26,FL,4
6,27,FL,4
6,28,UINT16,2
6,28,UINT16,2
6,29,FL,4
6,30,FL,4
6,31,FL,4
6,32,FL,4
6,33,FL,4
6,34,FL,4
6,35,FL,4
6,36,FL,4
6,36,FL,4
7,0,AC,10
7,1,FL,4
7,2,FL,4
7,3,BIN,1
7,4,BIN,1
7,5,FL,4
7,6,FL,4
7,7,FL,4
7,8,UINT16,2
7,8,UINT16,2
7,9,FL,4
7,10,FL,4
7,11,FL,4
7,12,UINT8,1
7,13,AC,30
7,14,BIN,1
7,15,FL,4
7,16,FL,4
7,17,FL,4
7,18,FL,4
7,19,FL,4
7,20,FL,4
7,21,FL,4
7,22,FL,4
7,23,FL,4
7,24,FL,4
7,25,FL,4
7,26,FL,4
7,27,FL,4
7,28,FL,4
7,29,FL,4
7,30,FL,4
7,31,FL,4
7,32,FL,4
7,33,FL,4
7,34,FL,4
7,35,FL,4
7,36,FL,4
7,37,FL,4
7,38,FL,4
7,39,FL,4
7,40,FL,4
7,41,FL,4
7,42,FL,4
7,43,UINT8,1
7,44,UINT8,1
7,45,TLP,3
7,46,TLP,3
7,47,TLP,3
7,48,TLP,3
7,49,FL,4
7,50,FL,4
7,51,FL,4
7,52,FL,4
7,53,FL,4
8,0,TLP,3
8,1,TLP,3
8,2,UINT8,1
8,3,UINT8,1
8,4,TLP,3
8,5,TLP,3
8,6,UINT8,1
8,7,UINT8,1
8,8,TLP,3
8,9,TLP,3
8,10,UINT8,1
8,11,UINT8,1
8,12,TLP,3
8,13,TLP,3
8,14,UINT8,1
8,15,UINT8,1
8,16,TLP,3
8,17,TLP,3
8,18,UINT8,1
8,19,UINT8,1
8,20,TLP,3
8,21,TLP,3
8,22,UINT8,1
8,23,UINT8,1
8,24,TLP,3
8,25,TLP,3
8,26,UINT8,1
8,27,UINT8,1
8,28,TLP,3
8,29,TLP,3
8,30,UINT8,1
8,31,UINT8,1
8,32,TLP,3
8,33,TLP,3
8,34,UINT8,1
8,35,UINT8,1
8,36,TLP,3
8,37,TLP,3
8,38,UINT8,1
8,39,UINT8,1
8,40,TLP,3
8,41,TLP,3
8,42,UINT8,1
8,43,UINT8,1
